Font Name,Family,Serif,Weight,Optical Size,Italic,Font Width,Style,Case,Glyph Name,Glyph Width,Glyph Height,Shape Width,Shape Height,Shape Area,On Curve Points,Total Points,Non Extrema Points
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,A,743,1001,0.12389788235294115,744,745,43,109,9
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,B,660,1001,0.159782,565,714,40,100,7
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,C,746,1001,0.11642608489958084,659,738,23,63,8
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,D,813,1001,0.16828560000000004,742,714,32,84,7
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,E,690,1001,0.13754661202162846,614,714,56,138,14
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,F,598,1001,0.11656531707232107,577,715,48,120,9
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,G,818,1001,0.14020263529411767,734,738,38,96,7
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,H,853,1001,0.17713080000000003,781,714,68,156,0
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,I,371,1001,0.08359680000000001,311,714,30,70,2
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,J,332,1001,0.09603070588235298,393,930,24,60,2
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,K,712,1001,0.15104880000000004,666,714,63,147,7
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,L,662,1001,0.10190847680350737,606,714,33,81,2
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,M,981,1001,0.2083704,942,714,59,145,8
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,N,795,1001,0.1494313411764706,732,723,51,121,7
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,O,821,1001,0.14897470588235295,725,738,13,39,5
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,P,607,1001,0.1263276,557,714,34,84,5
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,Q,815,1001,0.19863457278755137,1088,931,25,71,9
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,R,697,1001,0.1639736,658,714,49,125,8
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,S,548,1001,0.11185854732651615,429,738,34,96,14
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,T,702,1001,0.1146520924204167,698,747,41,97,10
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,U,746,1001,0.1290344,731,726,41,101,9
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,V,706,1001,0.10789560000000001,697,731,38,94,9
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,W,1045,1001,0.20723993333333338,1079,731,52,118,5
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,X,697,1001,0.138992,730,714,56,136,8
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,Y,665,1001,0.1102304,703,714,44,104,6
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,Z,702,1001,0.13396196298845228,649,731,27,69,6
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,a,427,1001,0.067846869325536,380,441,30,78,8
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,b,504,1001,0.10008970588235294,463,735,26,64,5
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,c,411,1001,0.0516741299763842,364,441,15,43,5
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,d,521,1001,0.1052563107305773,474,735,32,82,9
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,e,426,1001,0.06341337181678446,363,441,18,48,4
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,f,310,1001,0.07361355294117648,404,726,37,81,5
