Font Name,Family,Serif,Weight,Optical Size,Italic,Font Width,Style,Case,Glyph Name,Glyph Width,Glyph Height,Shape Width,Shape Height,Shape Area,On Curve Points,Total Points
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,A,743,1001,744,745,0.12389788235294118,43,109
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,B,660,1001,565,714,0.159782,40,100
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,C,746,1001,659,738,0.11642608489958084,23,63
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,D,813,1001,742,714,0.1682856,32,84
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,E,690,1001,614,714,0.13754661202162843,56,138
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,F,598,1001,577,715,0.11656531707232107,48,120
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,G,818,1001,734,738,0.14020263529411767,38,96
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,H,853,1001,781,714,0.1793176,68,156
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,I,371,1001,311,714,0.0835968,30,70
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,J,332,1001,393,930,0.0945974117647059,24,60
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,K,712,1001,666,714,0.15104879999999998,63,147
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,L,662,1001,606,714,0.10190847680350737,33,81
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,M,981,1001,942,714,0.2083704,59,145
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,N,795,1001,732,723,0.14943134117647058,51,121
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,O,821,1001,725,738,0.14897470588235295,13,39
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,P,607,1001,557,714,0.12632759999999998,34,84
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,Q,815,1001,1088,931,0.1986345727875514,25,71
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,R,697,1001,658,714,0.1639736,49,125
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,S,548,1001,429,738,0.11061567457844375,34,96
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,T,702,1001,698,747,0.11260473362719498,41,97
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,U,746,1001,731,726,0.1290344,41,101
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,V,706,1001,697,731,0.1078956,38,94
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,W,1045,1001,1079,731,0.20723993333333332,52,118
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,X,697,1001,730,714,0.138992,56,136
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,Y,665,1001,703,714,0.1121988,44,104
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Upper,Z,702,1001,649,731,0.13396196298845223,27,69
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,a,427,1001,380,441,0.06784686932553599,30,78
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,b,504,1001,463,735,0.10008970588235296,26,64
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,c,411,1001,364,441,0.051043957659599015,15,43
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,d,521,1001,474,735,0.10388934565615421,32,82
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,e,426,1001,363,441,0.06278551665028165,18,48
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,f,310,1001,404,726,0.07361355294117647,37,81
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,g,485,1001,473,701,0.11186406285401922,39,111
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,h,539,1001,495,726,0.10287847058823528,49,113
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,i,267,1001,221,651,0.0473928,28,70
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,j,246,1001,251,936,0.06541355294117647,23,61
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,k,496,1001,495,726,0.10287847058823528,54,132
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,l,256,1001,239,726,0.06192068235294118,26,62
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,m,806,1001,744,432,0.12100065882352941,68,156
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,n,532,1001,474,432,0.07949816470588236,46,104
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,o,498,1001,428,441,0.06809731764705883,13,39
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,p,514,1001,463,705,0.10240470588235294,36,84
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,q,508,1001,463,705,0.10240470588235294,34,82
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,r,341,1001,318,438,0.0497052705882353,32,74
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,s,356,1001,276,441,0.051586505925857416,24,60
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,t,319,1001,297,543,0.052601186635127965,24,56
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,u,506,1001,478,432,0.07454023577386118,40,96
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,v,433,1001,466,435,0.055645882352941184,34,84
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,w,686,1001,719,435,0.10057541176470589,52,112
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,x,438,1001,454,423,0.06627331764705882,56,130
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,y,436,1001,468,692,0.0723913411764706,36,90
ACaslonPro-Regular,Adobe Caslon,Serif,Regular,Text,Roman,Regular,Regular Roman,Lower,z,434,1001,433,442,0.06466286186612936,22,46
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,A,619,1001,729,688,0.11417839140049413,39,85
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,B,619,1001,617,676,0.13743676470588234,34,86
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,C,666,1001,622,707,0.10537481102717347,29,75
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,D,777,1001,778,679,0.14505809988066964,28,72
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,E,669,1001,702,676,0.12485425138032093,50,106
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,F,620,1001,712,686,0.10733075401560843,42,96
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,G,709,1001,652,700,0.11816217350417751,33,81
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,H,784,1001,894,676,0.15654294352060136,56,120
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,I,359,1001,475,676,0.07568437562589972,26,58
ACaslonPro-Italic,Adobe Caslon,Serif,Regular,Text,Italic,Regular,Regular Italic,Upper,J,345,1001,592,873,0.08920433823529413,23,57
